epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,4,,1.7168012857437134,,,,,
0,9,,0.43245378136634827,,,,,
0,14,,0.4687672555446625,,,,,
0,19,,0.4008367955684662,,,,,
0,24,,0.40144529938697815,,,,,
0,29,,0.3253679871559143,,,,,
0,34,,0.24255149066448212,,,,,
0,39,,0.1612703502178192,,,,,
0,44,,0.21092869341373444,,,,,
0,49,,0.18007364869117737,,,,,
0,54,,0.22712096571922302,,,,,
0,59,,0.18816637992858887,,,,,
0,64,,0.18804113566875458,,,,,
0,69,,0.1386338323354721,,,,,
0,74,,0.1794162094593048,,,,,
0,79,,0.13533926010131836,,,,,
0,84,,0.13250362873077393,,,,,
0,89,,0.10518260300159454,,,,,
0,94,,0.13338527083396912,,,,,
0,94,,,0.7610691785812378,8048095.0,0.8437515497207642,0.16750282049179077,0.3139391243457794
0,94,0.39328059554100037,,,,,,
1,99,,0.15572282671928406,,,,,
1,104,,0.12330596148967743,,,,,
1,109,,0.11382336169481277,,,,,
1,114,,0.1284983605146408,,,,,
1,119,,0.1452704519033432,,,,,
1,124,,0.1592923253774643,,,,,
1,129,,0.11545680463314056,,,,,
1,134,,0.12386312335729599,,,,,
1,139,,0.1307491511106491,,,,,
1,144,,0.10560540109872818,,,,,
1,149,,0.10069800168275833,,,,,
1,154,,0.1008601263165474,,,,,
1,159,,0.14333926141262054,,,,,
1,164,,0.10246672481298447,,,,,
1,169,,0.10192302614450455,,,,,
1,174,,0.08509086072444916,,,,,
1,179,,0.0909389778971672,,,,,
1,184,,0.09365790337324142,,,,,
1,189,,0.09271155297756195,,,,,
1,189,,,0.3514963388442993,8816355.0,0.4637758731842041,0.08630430698394775,0.1566099375486374
1,189,0.12099602073431015,,,,,,
2,194,,0.08468739688396454,,,,,
2,199,,0.11949571222066879,,,,,
2,204,,0.0863116905093193,,,,,
2,209,,0.10722482204437256,,,,,
2,214,,0.09253603965044022,,,,,
2,219,,0.12233740091323853,,,,,
2,224,,0.12489259988069534,,,,,
2,229,,0.10399576276540756,,,,,
2,234,,0.09447938948869705,,,,,
2,239,,0.09080594778060913,,,,,
2,244,,0.09371919184923172,,,,,
2,249,,0.10186605155467987,,,,,
2,254,,0.07043274492025375,,,,,
2,259,,0.07040631771087646,,,,,
2,264,,0.07723904401063919,,,,,
2,269,,0.11404057592153549,,,,,
2,274,,0.10234013944864273,,,,,
2,279,,0.09837271273136139,,,,,
2,284,,0.09355410188436508,,,,,
2,284,,,0.3639095723628998,8562817.0,0.4906192719936371,0.09090184420347214,0.15288259088993073
2,284,0.09776461869478226,,,,,,
3,289,,0.06946269422769547,,,,,
3,294,,0.08402972668409348,,,,,
3,299,,0.09030269086360931,,,,,
3,304,,0.10169470310211182,,,,,
3,309,,0.08200150728225708,,,,,
3,314,,0.09864987432956696,,,,,
3,319,,0.08264327049255371,,,,,
3,324,,0.07232590764760971,,,,,
3,329,,0.08646824210882187,,,,,
3,334,,0.0820809081196785,,,,,
3,339,,0.1222071573138237,,,,,
3,344,,0.07810205221176147,,,,,
3,349,,0.10923179239034653,,,,,
3,354,,0.1152704581618309,,,,,
3,359,,0.07874269038438797,,,,,
3,364,,0.0695984810590744,,,,,
3,369,,0.0850389376282692,,,,,
3,374,,0.06908545643091202,,,,,
3,379,,0.09469132870435715,,,,,
3,379,,,0.2668222486972809,8920214.0,0.40257900953292847,0.07110948860645294,0.12817837297916412
3,379,0.08735841512680054,,,,,,
4,384,,0.090589739382267,,,,,
4,389,,0.10277380049228668,,,,,
4,394,,0.0968041643500328,,,,,
4,399,,0.09422049671411514,,,,,
4,404,,0.1297571063041687,,,,,
4,409,,0.08799131959676743,,,,,
4,414,,0.08351805806159973,,,,,
4,419,,0.07263122498989105,,,,,
4,424,,0.07491057366132736,,,,,
4,429,,0.0761382207274437,,,,,
4,434,,0.07647355645895004,,,,,
4,439,,0.07163546234369278,,,,,
4,444,,0.07598970085382462,,,,,
4,449,,0.07732637971639633,,,,,
4,454,,0.08284912258386612,,,,,
4,459,,0.09700439125299454,,,,,
4,464,,0.07470837980508804,,,,,
4,469,,0.10307949036359787,,,,,
4,474,,0.09680680185556412,,,,,
4,474,,,0.2590738534927368,8664343.0,0.3859475553035736,0.07012534886598587,0.12422525882720947
4,474,0.08951640874147415,,,,,,
5,479,,0.0900968462228775,,,,,
5,484,,0.07588877528905869,,,,,
5,489,,0.06410230696201324,,,,,
5,494,,0.08117638528347015,,,,,
5,499,,0.06860285252332687,,,,,
5,504,,0.06172178313136101,,,,,
5,509,,0.07807083427906036,,,,,
5,514,,0.07329369336366653,,,,,
5,519,,0.10007123649120331,,,,,
5,524,,0.08699437230825424,,,,,
5,529,,0.06027472764253616,,,,,
5,534,,0.09257621318101883,,,,,
5,539,,0.09588280320167542,,,,,
5,544,,0.08024116605520248,,,,,
5,549,,0.1002344936132431,,,,,
5,554,,0.07612309604883194,,,,,
5,559,,0.10205818712711334,,,,,
5,564,,0.0724792405962944,,,,,
5,569,,0.07588990032672882,,,,,
5,569,,,0.2591649293899536,8725905.0,0.39573895931243896,0.07031052559614182,0.108867347240448
5,569,0.08211862295866013,,,,,,
6,574,,0.07765626907348633,,,,,
6,579,,0.07124216109514236,,,,,
6,584,,0.06192205101251602,,,,,
6,589,,0.06301141530275345,,,,,
6,594,,0.06353727728128433,,,,,
6,599,,0.05428699404001236,,,,,
6,604,,0.06749673187732697,,,,,
6,609,,0.06589291244745255,,,,,
6,614,,0.06714923679828644,,,,,
6,619,,0.08698370307683945,,,,,
6,624,,0.07188735902309418,,,,,
6,629,,0.07919322699308395,,,,,
6,634,,0.06733963638544083,,,,,
6,639,,0.0671754777431488,,,,,
6,644,,0.07192449271678925,,,,,
6,649,,0.0637546107172966,,,,,
6,654,,0.07020577788352966,,,,,
6,659,,0.09296131134033203,,,,,
6,664,,0.07147348672151566,,,,,
6,664,,,0.2732942998409271,8752345.0,0.4249829947948456,0.07316544651985168,0.11218821257352829
6,664,0.07419487833976746,,,,,,
7,669,,0.07408256083726883,,,,,
7,674,,0.07028279453516006,,,,,
7,679,,0.07161698490381241,,,,,
7,684,,0.06698593497276306,,,,,
7,689,,0.06748545914888382,,,,,
7,694,,0.06218710169196129,,,,,
7,699,,0.08042289316654205,,,,,
7,704,,0.06480787694454193,,,,,
7,709,,0.062098123133182526,,,,,
7,714,,0.06706251204013824,,,,,
7,719,,0.10487063974142075,,,,,
7,724,,0.06582389771938324,,,,,
7,729,,0.0719616487622261,,,,,
7,734,,0.060073476284742355,,,,,
7,739,,0.0567353256046772,,,,,
7,744,,0.10192634910345078,,,,,
7,749,,0.07057356089353561,,,,,
7,754,,0.061762791126966476,,,,,
7,759,,0.06911948323249817,,,,,
7,759,,,0.2913515269756317,8688386.0,0.4419771134853363,0.07768518477678299,0.11703146249055862
7,759,0.06831350177526474,,,,,,
8,764,,0.08290905505418777,,,,,
8,769,,0.050499219447374344,,,,,
8,774,,0.07162020355463028,,,,,
8,779,,0.05711989477276802,,,,,
8,784,,0.0756823942065239,,,,,
8,789,,0.0595947802066803,,,,,
8,794,,0.06299744546413422,,,,,
8,799,,0.07706863433122635,,,,,
8,804,,0.09770821034908295,,,,,
8,809,,0.0742749348282814,,,,,
8,814,,0.07770504802465439,,,,,
8,819,,0.06618257611989975,,,,,
8,824,,0.07044023275375366,,,,,
8,829,,0.059423767030239105,,,,,
8,834,,0.08022798597812653,,,,,
8,839,,0.06641169637441635,,,,,
8,844,,0.07977007329463959,,,,,
8,849,,0.07527363300323486,,,,,
8,854,,0.05597718432545662,,,,,
8,854,,,0.23217594623565674,8952268.0,0.38791948556900024,0.0650043711066246,0.09699640423059464
8,854,0.07010214775800705,,,,,,
9,859,,0.09615073353052139,,,,,
9,864,,0.06449709832668304,,,,,
9,869,,0.05618106573820114,,,,,
9,874,,0.06072234734892845,,,,,
9,879,,0.05978161841630936,,,,,
9,884,,0.061105940490961075,,,,,
9,889,,0.0942254513502121,,,,,
9,894,,0.06310798972845078,,,,,
9,899,,0.07246210426092148,,,,,
9,904,,0.0781170129776001,,,,,
9,909,,0.08149941265583038,,,,,
9,914,,0.05046858638525009,,,,,
9,919,,0.07024743407964706,,,,,
9,924,,0.06350776553153992,,,,,
9,929,,0.06628068536520004,,,,,
9,934,,0.05776849761605263,,,,,
9,939,,0.06197213754057884,,,,,
9,944,,0.059262488037347794,,,,,
9,949,,0.046641189604997635,,,,,
9,949,,,0.2307225614786148,8939410.0,0.38539204001426697,0.06485442817211151,0.08630725741386414
9,949,0.06703755259513855,,,,,,
